#Time       v(vout)   
 206.92E-6  4.7652    
 206.94E-6 -1.1333    
 206.96E-6 -1.034     
 206.98E-6  2.4995    
 207.E-6    7.8957    
 207.02E-6  11.16     
 207.04E-6  10.056    
 207.05E-6  5.45      
 207.07E-6 -0.87995   
 207.09E-6 -1.0705    
 207.11E-6  2.1324    
 207.13E-6  7.4536    
 207.15E-6  10.953    
 207.17E-6  10.226    
 207.19E-6  5.8714    
 207.21E-6  0.60505   
 207.23E-6 -1.3086    
 207.25E-6  1.2939    
 207.27E-6  6.6892    
 207.29E-6  10.776    
 207.31E-6  10.799    
 207.33E-6  6.7872    
 207.35E-6  1.6202    
 207.37E-6 -1.3355    
 207.39E-6  0.74613   
 207.41E-6  5.9609    
 207.43E-6  10.391    
 207.45E-6  10.977    
 207.46E-6  7.3768    
 207.48E-6  2.202     
 207.5E-6  -1.408     
 207.52E-6  0.23327   
 207.54E-6  5.3012    
 207.56E-6  10.019    
 207.58E-6  11.187    
 207.6E-6   8.0089    
 207.62E-6  2.8499    
 207.64E-6 -1.3389    
 207.66E-6 -0.041003  
 207.68E-6  4.7839    
 207.7E-6   9.6388    
 207.72E-6  11.171    
 207.74E-6  8.3667    
 207.76E-6  3.2776    
 207.78E-6 -1.4231    
 207.8E-6  -0.50911   
 207.82E-6  4.126     
 207.84E-6  9.2646    
 207.86E-6  11.321    
 207.87E-6  8.9249    
 207.89E-6  3.8455    
 207.91E-6 -1.3479    
 207.93E-6 -0.90208   
 207.95E-6  3.2097    
 207.97E-6  8.566     
 207.99E-6  11.323    
 208.01E-6  9.6115    
 208.03E-6  4.7221    
 208.05E-6 -1.1466    
 208.07E-6 -1.0319    
 208.09E-6  2.5175    
 208.11E-6  7.9249    
 208.13E-6  11.18     
 208.15E-6  10.055    
 208.17E-6  5.4306    
 208.19E-6 -0.89092   
 208.21E-6 -1.0765    
 208.23E-6  2.1397    
 208.25E-6  7.462     
 208.27E-6  10.957    
 208.29E-6  10.223    
 208.3E-6   5.8632    
 208.32E-6  0.57772   
 208.34E-6 -1.3069    
 208.36E-6  1.328     
 208.38E-6  6.7023    
 208.4E-6   10.773    
 208.42E-6  10.737    
 208.44E-6  6.6988    
 208.46E-6  1.5658    
 208.48E-6 -1.3842    
 208.5E-6   0.75312   
 208.52E-6  6.0178    
 208.54E-6  10.466    
 208.56E-6  11.005    
 208.58E-6  7.34      
 208.6E-6   2.1273    
 208.62E-6 -1.3566    
 208.64E-6  0.32452   
 208.66E-6  5.3944    
 208.68E-6  10.066    
 208.7E-6   11.116    
 208.71E-6  7.8546    
 208.73E-6  2.721     
 208.75E-6 -1.4469    
 208.77E-6 -0.18057   
 208.79E-6  4.6895    
 208.81E-6  9.6356    
 208.83E-6  11.293    
 208.85E-6  8.5224    
 208.87E-6  3.3595    
 208.89E-6 -1.4458    
 208.91E-6 -0.7333    
 208.93E-6  3.7448    
 208.95E-6  9.0474    
 208.97E-6  11.416    
 208.99E-6  9.259     
 209.01E-6  4.1803    
 209.03E-6 -1.301     
 209.05E-6 -0.98223   
 209.07E-6  2.8664    
 209.09E-6  8.2896    
 209.11E-6  11.305    
 209.12E-6  9.859     
 209.14E-6  5.0566    
 209.16E-6 -1.0445    
 209.18E-6 -1.0644    
 209.2E-6   2.3223    
 209.22E-6  7.6878    
 209.24E-6  11.067    
 209.26E-6  10.143    
 209.28E-6  5.6533    
 209.3E-6  -0.50448   
 209.32E-6 -1.14      
 209.34E-6  1.8926    
 209.36E-6  7.2604    
 209.38E-6  10.941    
 209.4E-6   10.399    
 209.42E-6  6.1051    
 209.44E-6  1.1119    
 209.46E-6 -1.3729    
 209.48E-6  1.0208    
 209.5E-6   6.3479    
 209.52E-6  10.604    
 209.54E-6  10.913    
 209.55E-6  7.1016    
 209.57E-6  1.9117    
 209.59E-6 -1.4204    
 209.61E-6  0.39464   
 209.63E-6  5.559     
 209.65E-6  10.229    
 209.67E-6  11.156    
 209.69E-6  7.7708    
 209.71E-6  2.5704    
 209.73E-6 -1.472     
 209.75E-6 -0.13899   
 209.77E-6  4.7803    
 209.79E-6  9.7126    
 209.81E-6  11.303    
 209.83E-6  8.4597    
 209.85E-6  3.2695    
 209.87E-6 -1.4335    
 209.89E-6 -0.55235   
 209.91E-6  4.092     
 209.93E-6  9.2678    
 209.95E-6  11.358    
 209.96E-6  8.9696    
 209.98E-6  3.8661    
 210.E-6   -1.3576    
 210.02E-6 -0.91904   
 210.04E-6  3.1625    
 210.06E-6  8.5346    
 210.08E-6  11.329    
 210.1E-6   9.6498    
 210.12E-6  4.7655    
 210.14E-6 -1.1314    
 210.16E-6 -1.0377    
 210.18E-6  2.4871    
 210.2E-6   7.8833    
 210.22E-6  11.156    
 210.24E-6  10.063    
 210.26E-6  5.4631    
 210.28E-6 -0.87459   
 210.3E-6  -1.0709    
 210.32E-6  2.1284    
 210.34E-6  7.4493    
 210.36E-6  10.952    
 210.37E-6  10.229    
 210.39E-6  5.8758    
 210.41E-6  0.62252   
 210.43E-6 -1.3105    
 210.45E-6  1.2864    
 210.47E-6  6.6799    
 210.49E-6  10.772    
 210.51E-6  10.803    
 210.53E-6  6.7958    
 210.55E-6  1.6282    
 210.57E-6 -1.3938    
 210.59E-6  0.70576   
 210.61E-6  5.9521    
 210.63E-6  10.419    
 210.65E-6  11.021    
 210.67E-6  7.4065    
 210.69E-6  2.1962    
 210.71E-6 -1.3942    
 210.73E-6  0.25112   
 210.75E-6  5.3094    
 210.77E-6  10.012    
 210.79E-6  11.17     
 210.8E-6   7.994     
 210.82E-6  2.8472    
 210.84E-6 -1.3351    
 210.86E-6 -0.030863  
 210.88E-6  4.7985    
 210.9E-6   9.6475    
 210.92E-6  11.168    
 210.94E-6  8.3542    
 210.96E-6  3.2646    
 210.98E-6 -1.4176    
 211.E-6   -0.4975
